experiment,examples,majority_examples,unanimous_examples,no_majority_examples,majority_macro_f1,unanimous_macro_f1,any_annotator_match_rate
DeBERTa-xlarge,308,275,125,33,0.39476798446433964,0.42461075356255673,0.5194805194805194
DeBERTa-v3-large,308,275,125,33,0.3778879994732025,0.4248757997396836,0.5454545454545454
DeBERTa-v3-base + weighted,308,275,125,33,0.35267495082527156,0.4285278029464076,0.474025974025974
DeBERTa-v3-base multi-task,308,275,125,33,0.34464844555198254,0.43013283486429266,0.5681818181818182
RoBERTa-large,308,275,125,33,0.3249625771858077,0.4035714285714286,0.5422077922077922
DeBERTa-v3-base + alt input,308,275,125,33,0.3185766093259715,0.3539712172197128,0.5324675324675324
BERT-base,308,275,125,33,0.29133493310200137,0.36872213531877396,0.4253246753246753
DeBERTa-v3-base,308,275,125,33,0.26571147125649497,0.3687282940255405,0.4772727272727273
