task,split,experiment,source_file,label,precision,recall,f1,support,raw_experiment
task1,test,DeBERTa-v3-large,outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/test_predictions.csv,Clear Reply,0.609375,0.4936708860759494,0.5454545454545454,79.0,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603
task1,test,DeBERTa-v3-large,outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/test_predictions.csv,Clear Non-Reply,0.5714285714285714,0.5217391304347826,0.5454545454545454,23.0,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603
task1,test,DeBERTa-v3-large,outputs/runs/task1/deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603/artifacts/test_predictions.csv,Ambivalent,0.7713004484304933,0.8349514563106796,0.8018648018648019,206.0,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603
