task,split,experiment,source_file,n_examples,macro_f1,macro_f1_ci_low,macro_f1_ci_high,weighted_f1,accuracy,raw_experiment
task1,test,DeBERTa-v3-base + alt input,outputs/runs/task1/deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425/artifacts/test_predictions.csv,308,0.5597826086956522,0.4823018385238497,0.6245468827060822,0.6199534161490684,0.6071428571428571,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425
task1,test,BERT-base,outputs/runs/task1/bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604/artifacts/test_predictions.csv,308,0.49888266415318744,0.42173770121433674,0.5704157677699705,0.6461330791674735,0.6623376623376623,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604
task2,dev,RoBERTa-large,outputs/runs/task2/roberta_large_task2_roberta_large_task2_seed42_20260622_162603/artifacts/dev_predictions.csv,690,0.43950400057979183,0.3944496071460547,0.4731954931119619,0.4644190702537424,0.47101449275362317,roberta_large_task2_roberta_large_task2_seed42_20260622_162603
task2,dev,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/dev_predictions.csv,690,0.40140062341697813,0.3547674256040342,0.44146419295492856,0.4124432385619922,0.39855072463768115,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,dev,DeBERTa-v3-large,outputs/runs/task2/deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114/artifacts/dev_predictions.csv,690,0.390716911900118,0.34519552322142455,0.4237865970801324,0.4403898624675259,0.43333333333333335,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114
task2,dev,DeBERTa-v3-base + weighted,outputs/runs/task2/deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854/artifacts/dev_predictions.csv,690,0.3901100631917209,0.3467201930489233,0.430338465111818,0.39423391590750917,0.38115942028985506,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854
task2,dev,DeBERTa-v3-base multi-task,outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task2/dev_predictions.csv,690,0.38875560236249046,0.33798089656660096,0.43126345165365365,0.4450315779362269,0.4666666666666667,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926
task2,dev,BERT-base,outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/artifacts/dev_predictions.csv,690,0.378319409919508,0.33086353368544363,0.4159969999628999,0.40316797946689253,0.4057971014492754,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604
task2,dev,DeBERTa-v3-base + alt input,outputs/runs/task2/deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525/artifacts/dev_predictions.csv,690,0.35294678224720755,0.30811441286313096,0.3889784773157169,0.40161588665056863,0.4405797101449275,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525
task2,dev,DeBERTa-v3-base,outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/artifacts/dev_predictions.csv,690,0.33617968198515774,0.28892043991813837,0.3743950998850201,0.37298270692593927,0.41884057971014493,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,275,0.39476798446433964,0.29584905228978636,0.452549507344269,0.4081752499326046,0.4,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-v3-large,outputs/runs/task2/deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114/artifacts/test_predictions.csv,275,0.37788799947320245,0.2885966919596263,0.44876059716491024,0.41527156767552814,0.4218181818181818,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114
task2,test,DeBERTa-v3-base + weighted,outputs/runs/task2/deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854/artifacts/test_predictions.csv,275,0.35267495082527156,0.27564391086227635,0.40696450284778374,0.3410316158260851,0.3236363636363636,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854
task2,test,DeBERTa-v3-base multi-task,outputs/runs/multitask/deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926/artifacts/task2/test_predictions.csv,275,0.34464844555198254,0.26942765179504247,0.3972768712133597,0.3890966494647731,0.41818181818181815,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926
task2,test,RoBERTa-large,outputs/runs/task2/roberta_large_task2_roberta_large_task2_seed42_20260622_162603/artifacts/test_predictions.csv,275,0.3249625771858076,0.23179773998720296,0.39569201843767726,0.37634337851051264,0.3927272727272727,roberta_large_task2_roberta_large_task2_seed42_20260622_162603
task2,test,DeBERTa-v3-base + alt input,outputs/runs/task2/deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525/artifacts/test_predictions.csv,275,0.3185766093259714,0.23183099566641646,0.38172580964340763,0.34473841789867987,0.3927272727272727,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525
task2,test,BERT-base,outputs/runs/task2/bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604/artifacts/test_predictions.csv,275,0.29133493310200137,0.2159991008774651,0.34775915862833645,0.30417977398043117,0.32727272727272727,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604
task2,test,DeBERTa-v3-base,outputs/runs/task2/deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254/artifacts/test_predictions.csv,275,0.26571147125649497,0.19717978108792872,0.32521424011657796,0.2871554137470553,0.3527272727272727,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254
