task,split,experiment,source_file,label,precision,recall,f1,support,raw_experiment
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Partial/half-answer,0.0,0.0,0.0,3.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Deflection,0.1388888888888889,0.29411764705882354,0.18867924528301888,17.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,General,0.24,0.25,0.24489795918367346,48.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Implicit,0.2982456140350877,0.2982456140350877,0.2982456140350877,57.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Declining to answer,0.4,0.36363636363636365,0.38095238095238093,11.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Dodging,0.47368421052631576,0.36,0.4090909090909091,50.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Explicit,0.618421052631579,0.6103896103896104,0.6143790849673203,77.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Claims ignorance,1.0,0.5,0.6666666666666666,8.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
task2,test,DeBERTa-xlarge,outputs/runs/task2/deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826/artifacts/test_predictions.csv,Clarification,0.75,0.75,0.75,4.0,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826
