task,split,system_a,system_b,shared_examples,macro_f1_delta_a_minus_b,ci_low,ci_high
task1,dev,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,690,-0.004758243516431518,-0.04093144016488889,0.032259479447778114
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,308,-0.12624479052618856,-0.21215442785405342,-0.0467257881457848
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,308,-0.06897653516770347,-0.1454081517055535,0.011874441842768028
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,308,-0.06106793723039671,-0.1393703656811697,0.017856739404627144
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,308,-0.09697142709842703,-0.1790862787796171,-0.010359970757318473
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,308,-0.1318172293902334,-0.21390749097310244,-0.06073109403202224
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,308,-0.10835356242281105,-0.19919262879847038,-0.025382973217228853
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,-0.12522402891549828,-0.20516685728763223,-0.038102996086954784
task1,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,308,0.05726825535848506,-0.005657755128772948,0.11786700511528962
task1,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,308,0.06517685329579183,-0.014823803103238675,0.12698213551663717
task1,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,308,0.029273363427761503,-0.04126587026348378,0.09151517670040524
task1,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,308,-0.005572438864044878,-0.07977284304581371,0.06316593360614352
